"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Cereal production (metric tons)","AG.PRD.CREL.MT","","4403935","4466325","4507537","5232842","5307655","6823527","6531374","5285685","6080288","6788615","7076215","8152773","7329016","6608375","7706452","8492409","7577645","7491580","8290010","7647576","8449300","9967359","7931689","9249148","5382902","8492188","7275590","7816939","9527371","8125944","8983805.61","6593632.81","5697849.17","6441668.21","6543382","3403520","6187844","5378183","5221441","4388340.55","6076855.95","6770394","3814085","7462821","5839080","5531830","3870212.73","7015582","6243088","7136449","7521107.72","6988023","9153930","9530421","8570299","8752219","9475846","10109850","11130990","8598290","11639300","9790690","10345650","","",
"Bahrain","BHR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Cereal production (metric tons)","AG.PRD.CREL.MT","","100","150","200","250","300","430","450","470","490","510","530","550","580","595","610","625","640","730","720","719","720","740","750","800","820","820","750","700","700","750","750","500","400","312","312","312","348","377","379","312","300","305","340","355","360","380","400","500","600","678","687","690","690.83","687.62","597.18","658.54","647.78","626.45","612.84","600.51","610.14","600.78","603.81","604.91","",
"Bosnia and Herzegovina","BIH","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080400","962300","847400","671360","841400","1242059","1326660","1368792","930230","1137981","1307700","793364","1438704","1349772","1340995","1000576","1374701","1390724","1104907","1118257","905975","1222498","1082655","1137236","1657556","1167004.74","1743762","1666131","1944178","1400676","1431169","1062500","","",
"Belarus","BLR","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7135000","7329074.21","5951814.52","5329554.84","5496095.16","5937335.48","4510975.8","3427316.12","4579256.44","4885396.76","5723737.08","5132062.2","6604944.45","6104298.71","5700180.97","7029909.22","8728461.48","8169503.73","6741683.99","7996331.18","8843847.86","7233152","9033775","8186980","7075658","7529412","5813781","6991979","8403688","6914867.36","7772407.63","6736789.82","7731917.71","",
"Belize","BLZ","Cereal production (metric tons)","AG.PRD.CREL.MT","","4848","3245","3856","5084","5819","4478","8328","9893","11181","19369","20424","20409","24267","20321","16646","24449","25644","25854","22090","27443","31967","29121","23722","21830","25209","22887","27818","28672","28572","29835","42005","38130","43640","34364","43264","55948","59873","52236","62300","47875","57267","56428","60036","53937","71758","53390","70153","59522","87276","98489","91768","91627","111934","94519","80959","91556.38","118376","99341","85114","112007","136612","146715","160169","","",
"Bermuda","BMU","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Cereal production (metric tons)","AG.PRD.CREL.MT","","411470","418321","449507","381392","455106","434564","429601","480710","503075","478920","510860","491455","498445","516196","592260","631970","557490","557915","595580","625905","766100","700371","496789","865748","972965","839006","865495","834282","845276","792648","902497","952128","1113756","956890","1089553.07","1138597.59","944951.86","1157807.09","1137351","1244321.76","1324781","1315565.21","1462502","1255985","1659795","1865967","1733466","2052972","2378919","2133671","1988006.81","2125542.86","2503244.71","2449241","2934919","2660808","2278993.69","3267425.32","2912082","2914459","3741163.26","2615641.21","3086273.49","3737131.71","",
"Brazil","BRA","Cereal production (metric tons)","AG.PRD.CREL.MT","","15036353","15918336","16616892","16469226","20350793","17867924","20322328","20418801","20549860","23698316","22814265","22703928","23721606","26240014","26238419","31143200","30913834","24033646","27147322","33217492","32050567","33838263","29197566","32711289","36011139","37298400","44148398","42905037","43934410","32490390","36682063","44057994","43073467","45845331.58","49641823","42436960.06","44874819.85","40742023.47","47631962.27","46527201.96","57125393.44","50875594","67454328.6","63953364.1","55670925","59148978","69441634","79745466.44","70914790.87","75160152.06","77586276","89908244","100901726","101402184","106026684.77","84166681.6","117977043.93","103259697.62","121202029.78","125585148.34","111985318.13","135743835.43","155877081.97","138980898.51","",
"Barbados","BRB","Cereal production (metric tons)","AG.PRD.CREL.MT","","716","899","708","508","560","830","1000","1449","1754","1600","1400","2073","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2400","2000","2100","2100","2200","2200","2300","2100","1800","1600","1300","1100","800","650","520","390","300","250","218","263","250","260","270","280","267.8","262.66","259.58","268.89","320","340","81","122","95.57","73.86","109.3","42","86","49.9","51","42.6","1.1","",
"Brunei Darussalam","BRN","Cereal production (metric tons)","AG.PRD.CREL.MT","","4908","5245","3868","3441","2946","3408","5523","5522","6782","6781","4381","4000","6116","9766","9882","7230","4259","3836","4615","2747","2494","2366","2676","3270","1082","1540","1080","1930","1560","930","1300","1100","1200","1200","800","700","700","700","300","463","481","508","689","757","975","1095","1360","1150","1060","1600","2200","2200","1900","2100","3100","2400","2300","2400","2300","3900","4100","3600","3700","","",
"Bhutan","BTN","Cereal production (metric tons)","AG.PRD.CREL.MT","","98408","101378","104458","107233","110113","113000","116100","120200","123000","126000","128900","132000","134900","138200","141100","143600","146900","150100","154100","158100","163700","166230","171700","178891","167300","164350","139700","94871","94800","121320","100025.47","101312.04","116779.57","131911.14","149534.32","162306.75","169824.81","168080.92","151252.3","106650","115000","91437","106447","153969","192631","184653","190853","166007","143552","144634","184333","167800","171148.72","170212.58","175635.48","176187.02","192713","125754.52","103294.68","103398.32","77688.31","71354.25","69975.77","73368.46","",
"Botswana","BWA","Cereal production (metric tons)","AG.PRD.CREL.MT","","62161","16900","18550","11506","11599","35466","65529","25943","50075","11530","96400","79500","34517","110750","67050","123147","73600","34200","9750","45900","54195","19320","16765","9525","20670","23500","24275","108280","77275","54430","52300","22500","46375.59","55405.27","62769.17","89530.31","43946.35","14934","20827.3","24576.15","23080","34479.21","35885.13","26672.45","36512.9","43809.86","31312","36741.01","55377.58","50345","74024","37457","19366","50253.48","43967.04","48572.85","23207.96","80922.63","48664.67","162122.1","122238.94","115579.91","74579.23","54553.76","",
"Central African Republic","CAF","Cereal production (metric tons)","AG.PRD.CREL.MT","","68000","83300","84300","87000","88500","85500","89600","92800","99476","92188","95477","99900","103650","101362","94672","96000","93000","92918","93145","99862","116073","120200","102676","102100","110772","177889","126314","143158","123580","89142","91504","93947","93637","100706","112818","126400","138400","147500","161000","165600","182600","193300","201800","209900","230994.25","227000","236570","235527","250667","157410","156544","154214","127064.6","133138.87","131506","146819.75","147325","151619","157397","277762.88","285796.42","294070.17","302591.56","","",
"Canada","CAN","Cereal production (metric tons)","AG.PRD.CREL.MT","","16730306","29261250","34122307","28504578","32228771","38663261","30080426","34413439","35922333","28560715","38859750","35466355","36600202","30864826","37107574","44710278","42239008","41895782","35955000","41364700","50862200","53333208","47447208","42793504","48239300","56964700","51635200","35494200","48089308","56806235","53852300","49642650","51483100","46618500","49344200","58494100","49606900","50984500","54112600","51090400","43391400","36046900","49197200","50778200","50962400","48577300","48005300","56030400","49691900","46122200","48337200","51846500","66535401","51683501","53563000","58905767.63","56770935","58726900","61473900","65314300","47546138","65040432","59240420.77","","",
