Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2014","50000"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2015","85000"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2015","588.2"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2015","50000"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2016","142275"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2016","550.1"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2016","78268"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2017","167329"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2017","537.9"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2017","90000"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2018","192458"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2018","532.7"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2018","102531"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2019","161400"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2019","532.6"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2019","85962"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2020","240230"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2020","533"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2020","128037.59"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2021","296259"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2021","533.6"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2021","158094.63"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2022","374511"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2022","534"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2022","200000"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2023","374129"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2023","534.6"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2023","200000"
"Crops and livestock products","Ghana","Area harvested","Cashew nuts, in shell","2024","408433"
"Crops and livestock products","Ghana","Yield","Cashew nuts, in shell","2024","535.2"
"Crops and livestock products","Ghana","Production","Cashew nuts, in shell","2024","218575.53"
"Crops and livestock products","Ghana","Area harvested","Cassava, fresh","2012","868550"
"Crops and livestock products","Ghana","Yield","Cassava, fresh","2012","16748.9"
"Crops and livestock products","Ghana","Production","Cassava, fresh","2012","14547279"
"Crops and livestock products","Ghana","Area harvested","Cassava, fresh","2013","875185"
"Crops and livestock products","Ghana","Yield","Cassava, fresh","2013","18270.4"
"Crops and livestock products","Ghana","Production","Cassava, fresh","2013","15989940"
"Crops and livestock products","Ghana","Area harvested","Cassava, fresh","2014","888847"
"Crops and livestock products","Ghana","Yield","Cassava, fresh","2014","20023.9"
"Crops and livestock products","Ghana","Production","Cassava, fresh","2014","17798217"
