Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2015","85367"
"Crops and livestock products","Ghana","Yield","Kola nuts","2015","282.2"
"Crops and livestock products","Ghana","Production","Kola nuts","2015","24094.17"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2016","82690"
"Crops and livestock products","Ghana","Yield","Kola nuts","2016","281.8"
"Crops and livestock products","Ghana","Production","Kola nuts","2016","23299.01"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2017","83507"
"Crops and livestock products","Ghana","Yield","Kola nuts","2017","282.7"
"Crops and livestock products","Ghana","Production","Kola nuts","2017","23603.95"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2018","84835"
"Crops and livestock products","Ghana","Yield","Kola nuts","2018","283.4"
"Crops and livestock products","Ghana","Production","Kola nuts","2018","24044.39"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2019","85975"
"Crops and livestock products","Ghana","Yield","Kola nuts","2019","284.1"
"Crops and livestock products","Ghana","Production","Kola nuts","2019","24421.97"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2020","86934"
"Crops and livestock products","Ghana","Yield","Kola nuts","2020","284.4"
"Crops and livestock products","Ghana","Production","Kola nuts","2020","24721.79"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2021","88191"
"Crops and livestock products","Ghana","Yield","Kola nuts","2021","284.4"
"Crops and livestock products","Ghana","Production","Kola nuts","2021","25078.47"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2022","88115"
"Crops and livestock products","Ghana","Yield","Kola nuts","2022","284.1"
"Crops and livestock products","Ghana","Production","Kola nuts","2022","25037.38"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2023","87747"
"Crops and livestock products","Ghana","Yield","Kola nuts","2023","284.3"
"Crops and livestock products","Ghana","Production","Kola nuts","2023","24945.88"
"Crops and livestock products","Ghana","Area harvested","Kola nuts","2024","88018"
"Crops and livestock products","Ghana","Yield","Kola nuts","2024","284.3"
"Crops and livestock products","Ghana","Production","Kola nuts","2024","25020.58"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2012","7000"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2012","6571.4"
"Crops and livestock products","Ghana","Production","Lemons and limes","2012","46000"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2013","7174"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2013","6460.4"
"Crops and livestock products","Ghana","Production","Lemons and limes","2013","46349.67"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2014","7200"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2014","6458.3"
"Crops and livestock products","Ghana","Production","Lemons and limes","2014","46500"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2015","7175"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2015","6505.3"
"Crops and livestock products","Ghana","Production","Lemons and limes","2015","46674.15"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2016","7145"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2016","6557.4"
"Crops and livestock products","Ghana","Production","Lemons and limes","2016","46853.54"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2017","7124"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2017","6601.5"
"Crops and livestock products","Ghana","Production","Lemons and limes","2017","47032.3"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2018","7118"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2018","6632.7"
"Crops and livestock products","Ghana","Production","Lemons and limes","2018","47213.69"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2019","7119"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2019","6657.8"
"Crops and livestock products","Ghana","Production","Lemons and limes","2019","47396.49"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2020","7125"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2020","6677.9"
"Crops and livestock products","Ghana","Production","Lemons and limes","2020","47580.48"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2021","7172"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2021","6710"
"Crops and livestock products","Ghana","Production","Lemons and limes","2021","48126.09"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2022","7176"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2022","6742.4"
"Crops and livestock products","Ghana","Production","Lemons and limes","2022","48385.52"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2023","7184"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2023","6771.9"
"Crops and livestock products","Ghana","Production","Lemons and limes","2023","48648.36"
"Crops and livestock products","Ghana","Area harvested","Lemons and limes","2024","7191"
"Crops and livestock products","Ghana","Yield","Lemons and limes","2024","6801.3"
"Crops and livestock products","Ghana","Production","Lemons and limes","2024","48911.2"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2012","1042083"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2012","1871.2"
"Crops and livestock products","Ghana","Production","Maize (corn)","2012","1949897"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2013","1023459"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2013","1724"
"Crops and livestock products","Ghana","Production","Maize (corn)","2013","1764477"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2014","1019000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2014","1729.1"
"Crops and livestock products","Ghana","Production","Maize (corn)","2014","1762000"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2015","880250"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2015","1921.8"
"Crops and livestock products","Ghana","Production","Maize (corn)","2015","1691643.9"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2016","883031"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2016","1950"
"Crops and livestock products","Ghana","Production","Maize (corn)","2016","1721910.12"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2017","1000000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2017","2011.2"
"Crops and livestock products","Ghana","Production","Maize (corn)","2017","2011179.42"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2018","1021000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2018","2258.9"
"Crops and livestock products","Ghana","Production","Maize (corn)","2018","2306383.95"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2019","1150000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2019","2531.3"
"Crops and livestock products","Ghana","Production","Maize (corn)","2019","2911000"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2020","1189000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2020","2582.8"
"Crops and livestock products","Ghana","Production","Maize (corn)","2020","3071000"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2021","1266000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2021","2530"
"Crops and livestock products","Ghana","Production","Maize (corn)","2021","3203000"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2022","1300000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2022","2504.4"
"Crops and livestock products","Ghana","Production","Maize (corn)","2022","3255718"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2023","1300000"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2023","2753.1"
"Crops and livestock products","Ghana","Production","Maize (corn)","2023","3579000"
"Crops and livestock products","Ghana","Area harvested","Maize (corn)","2024","1368623"
"Crops and livestock products","Ghana","Yield","Maize (corn)","2024","2772.1"
"Crops and livestock products","Ghana","Production","Maize (corn)","2024","3794000"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2012","7200"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2012","12500"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2012","90000"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2013","7400"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2013","12900"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2013","95460"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2014","7550"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2014","13160"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2014","99358"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2015","7550"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2015","13160"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2015","99358"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2016","7550"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2016","13160"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2016","99358"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2017","7342"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2017","13530.7"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2017","99344.3"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2018","7124"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2018","13902.8"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2018","99040.83"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2019","7339"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2019","13435.2"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2019","98595.69"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2020","7085"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2020","13845.4"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2020","98090.67"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2021","7088"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2021","14373.4"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2021","101883.28"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2022","7171"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2022","14163"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2022","101557"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2023","7115"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2023","14365.6"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2023","102204.64"
"Crops and livestock products","Ghana","Area harvested","Mangoes, guavas and mangosteens","2024","7124"
"Crops and livestock products","Ghana","Yield","Mangoes, guavas and mangosteens","2024","14438.8"
"Crops and livestock products","Ghana","Production","Mangoes, guavas and mangosteens","2024","102869.38"
"Crops and livestock products","Ghana","Area harvested","Millet","2012","172470"
"Crops and livestock products","Ghana","Yield","Millet","2012","1041.8"
"Crops and livestock products","Ghana","Production","Millet","2012","179684"
"Crops and livestock products","Ghana","Area harvested","Millet","2013","160737"
"Crops and livestock products","Ghana","Yield","Millet","2013","965.1"
"Crops and livestock products","Ghana","Production","Millet","2013","155131"
"Crops and livestock products","Ghana","Area harvested","Millet","2014","162000"
"Crops and livestock products","Ghana","Yield","Millet","2014","956.8"
"Crops and livestock products","Ghana","Production","Millet","2014","155000"
"Crops and livestock products","Ghana","Area harvested","Millet","2015","162236"
"Crops and livestock products","Ghana","Yield","Millet","2015","970"
"Crops and livestock products","Ghana","Production","Millet","2015","157369.21"
"Crops and livestock products","Ghana","Area harvested","Millet","2016","162263"
"Crops and livestock products","Ghana","Yield","Millet","2016","980"
"Crops and livestock products","Ghana","Production","Millet","2016","159017.27"
"Crops and livestock products","Ghana","Area harvested","Millet","2017","153714"
"Crops and livestock products","Ghana","Yield","Millet","2017","1063.6"
"Crops and livestock products","Ghana","Production","Millet","2017","163483.97"
"Crops and livestock products","Ghana","Area harvested","Millet","2018","142000"
"Crops and livestock products","Ghana","Yield","Millet","2018","1278.6"
"Crops and livestock products","Ghana","Production","Millet","2018","181564.3"
"Crops and livestock products","Ghana","Area harvested","Millet","2019","148000"
"Crops and livestock products","Ghana","Yield","Millet","2019","1554.1"
"Crops and livestock products","Ghana","Production","Millet","2019","230000"
"Crops and livestock products","Ghana","Area harvested","Millet","2020","139000"
"Crops and livestock products","Ghana","Yield","Millet","2020","1697.8"
"Crops and livestock products","Ghana","Production","Millet","2020","236000"
"Crops and livestock products","Ghana","Area harvested","Millet","2021","125000"
"Crops and livestock products","Ghana","Yield","Millet","2021","1504"
"Crops and livestock products","Ghana","Production","Millet","2021","188000"
"Crops and livestock products","Ghana","Area harvested","Millet","2022","138927"
"Crops and livestock products","Ghana","Yield","Millet","2022","1413"
"Crops and livestock products","Ghana","Production","Millet","2022","196308"
"Crops and livestock products","Ghana","Area harvested","Millet","2023","163137"
"Crops and livestock products","Ghana","Yield","Millet","2023","1495.7"
"Crops and livestock products","Ghana","Production","Millet","2023","244000"
"Crops and livestock products","Ghana","Area harvested","Millet","2024","135281"
"Crops and livestock products","Ghana","Yield","Millet","2024","1552.3"
"Crops and livestock products","Ghana","Production","Millet","2024","210000"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2012","26000"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2012","776.9"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2012","20200"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2013","26800"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2013","800"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2013","21440"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2014","27350"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2014","820"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2014","22427"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2015","27350"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2015","820"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2015","22427"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2016","27350"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2016","820"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2016","22427"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2017","44789"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2017","826.1"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2017","37000"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2018","49558"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2018","833.4"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2018","41300"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2019","50138"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2019","841.7"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2019","42200"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2020","80742"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2020","854.6"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2020","69000"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2021","97286"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2021","873.7"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2021","85000"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2022","132800"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2022","881"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2022","117000"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2023","141893"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2023","890.8"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2023","126400"
"Crops and livestock products","Ghana","Area harvested","Natural rubber in primary forms","2024","151565"
"Crops and livestock products","Ghana","Yield","Natural rubber in primary forms","2024","900.6"
"Crops and livestock products","Ghana","Production","Natural rubber in primary forms","2024","136500"
"Crops and livestock products","Ghana","Area harvested","Oats","2012","50"
"Crops and livestock products","Ghana","Yield","Oats","2012","900"
"Crops and livestock products","Ghana","Production","Oats","2012","45"
"Crops and livestock products","Ghana","Area harvested","Oats","2013","50"
"Crops and livestock products","Ghana","Yield","Oats","2013","900"
"Crops and livestock products","Ghana","Production","Oats","2013","45"
"Crops and livestock products","Ghana","Area harvested","Oats","2014","45"
"Crops and livestock products","Ghana","Yield","Oats","2014","888.9"
"Crops and livestock products","Ghana","Production","Oats","2014","40"
"Crops and livestock products","Ghana","Area harvested","Oats","2015","42"
"Crops and livestock products","Ghana","Yield","Oats","2015","886"
"Crops and livestock products","Ghana","Production","Oats","2015","37.44"
"Crops and livestock products","Ghana","Area harvested","Oats","2016","46"
"Crops and livestock products","Ghana","Yield","Oats","2016","892"
"Crops and livestock products","Ghana","Production","Oats","2016","40.81"
"Crops and livestock products","Ghana","Area harvested","Oats","2017","44"
"Crops and livestock products","Ghana","Yield","Oats","2017","889"
"Crops and livestock products","Ghana","Production","Oats","2017","39.42"
"Crops and livestock products","Ghana","Area harvested","Oats","2018","44"
"Crops and livestock products","Ghana","Yield","Oats","2018","899.4"
"Crops and livestock products","Ghana","Production","Oats","2018","39.36"
"Crops and livestock products","Ghana","Area harvested","Oats","2019","44"
"Crops and livestock products","Ghana","Yield","Oats","2019","907.1"
"Crops and livestock products","Ghana","Production","Oats","2019","39.66"
"Crops and livestock products","Ghana","Area harvested","Oats","2020","44"
"Crops and livestock products","Ghana","Yield","Oats","2020","911.3"
"Crops and livestock products","Ghana","Production","Oats","2020","39.67"
"Crops and livestock products","Ghana","Area harvested","Oats","2021","44"
"Crops and livestock products","Ghana","Yield","Oats","2021","877.9"
"Crops and livestock products","Ghana","Production","Oats","2021","38.34"
"Crops and livestock products","Ghana","Area harvested","Oats","2022","44"
"Crops and livestock products","Ghana","Yield","Oats","2022","859.2"
"Crops and livestock products","Ghana","Production","Oats","2022","37.5"
"Crops and livestock products","Ghana","Area harvested","Oats","2023","44"
"Crops and livestock products","Ghana","Yield","Oats","2023","882.8"
"Crops and livestock products","Ghana","Production","Oats","2023","38.5"
"Crops and livestock products","Ghana","Area harvested","Oats","2024","44"
"Crops and livestock products","Ghana","Yield","Oats","2024","873.3"
"Crops and livestock products","Ghana","Production","Oats","2024","38.11"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2012","387000"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2012","5674.7"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2012","2196100"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2013","318760"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2013","7299.9"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2013","2326920"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2014","349040"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2014","7000"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2014","2443270"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2015","349040"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2015","6999.2"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2015","2443000"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2016","349040"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2016","6999.2"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2016","2443000"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2017","361082"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2017","6883.6"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2017","2485557.02"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2018","366728"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2018","6936.6"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2018","2543860.08"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2019","372777"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2019","6990.3"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2019","2605833.27"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2020","386503"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2020","7005.2"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2020","2707530.38"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2021","394698"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2021","7093.4"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2021","2799735.94"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2022","401916"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2022","7215.4"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2022","2900000"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2023","425263"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2023","7289.6"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2023","3100000"
"Crops and livestock products","Ghana","Area harvested","Oil palm fruit","2024","435934"
"Crops and livestock products","Ghana","Yield","Oil palm fruit","2024","7364.4"
"Crops and livestock products","Ghana","Production","Oil palm fruit","2024","3210394.04"
"Crops and livestock products","Ghana","Area harvested","Okra","2012","3000"
"Crops and livestock products","Ghana","Yield","Okra","2012","20000"
"Crops and livestock products","Ghana","Production","Okra","2012","60000"
"Crops and livestock products","Ghana","Area harvested","Okra","2013","3100"
"Crops and livestock products","Ghana","Yield","Okra","2013","20600"
"Crops and livestock products","Ghana","Production","Okra","2013","63860"
"Crops and livestock products","Ghana","Area harvested","Okra","2014","3160"
"Crops and livestock products","Ghana","Yield","Okra","2014","21000"
"Crops and livestock products","Ghana","Production","Okra","2014","66360"
"Crops and livestock products","Ghana","Area harvested","Okra","2015","3160"
"Crops and livestock products","Ghana","Yield","Okra","2015","21000"
"Crops and livestock products","Ghana","Production","Okra","2015","66360"
"Crops and livestock products","Ghana","Area harvested","Okra","2016","3160"
"Crops and livestock products","Ghana","Yield","Okra","2016","21000"
"Crops and livestock products","Ghana","Production","Okra","2016","66360"
"Crops and livestock products","Ghana","Area harvested","Okra","2017","3179"
"Crops and livestock products","Ghana","Yield","Okra","2017","20893.7"
"Crops and livestock products","Ghana","Production","Okra","2017","66430.93"
"Crops and livestock products","Ghana","Area harvested","Okra","2018","3204"
"Crops and livestock products","Ghana","Yield","Okra","2018","20749.2"
"Crops and livestock products","Ghana","Production","Okra","2018","66478.36"
"Crops and livestock products","Ghana","Area harvested","Okra","2019","3222"
"Crops and livestock products","Ghana","Yield","Okra","2019","20649.4"
"Crops and livestock products","Ghana","Production","Okra","2019","66539.4"
"Crops and livestock products","Ghana","Area harvested","Okra","2020","3224"
"Crops and livestock products","Ghana","Yield","Okra","2020","20655.3"
"Crops and livestock products","Ghana","Production","Okra","2020","66588.84"
"Crops and livestock products","Ghana","Area harvested","Okra","2021","3093"
"Crops and livestock products","Ghana","Yield","Okra","2021","21518.8"
"Crops and livestock products","Ghana","Production","Okra","2021","66561.75"
"Crops and livestock products","Ghana","Area harvested","Okra","2022","3100"
"Crops and livestock products","Ghana","Yield","Okra","2022","21583.7"
"Crops and livestock products","Ghana","Production","Okra","2022","66920.04"
"Crops and livestock products","Ghana","Area harvested","Okra","2023","3085"
"Crops and livestock products","Ghana","Yield","Okra","2023","21729.6"
"Crops and livestock products","Ghana","Production","Okra","2023","67026.6"
"Crops and livestock products","Ghana","Area harvested","Okra","2024","3069"
"Crops and livestock products","Ghana","Yield","Okra","2024","21875.4"
"Crops and livestock products","Ghana","Production","Okra","2024","67128.03"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2012","8000"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2012","16250"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2012","130000"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2013","8250"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2013","16750.1"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2013","138188"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2014","8420"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2014","17100"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2014","143982"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2015","8420"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2015","17100"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2015","143982"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2016","8420"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2016","17100"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2016","143982"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2017","8295"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2017","17476.1"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2017","144961.02"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2018","8224"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2018","17756"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2018","146019.89"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2019","8089"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2019","18221.8"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2019","147389.89"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2020","8137"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2020","18284.7"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2020","148783.46"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2021","8159"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2021","18065.5"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2021","147397.75"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2022","7970"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2022","18552.4"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2022","147857.03"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2023","7903"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2023","18727.8"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2023","148012.75"
"Crops and livestock products","Ghana","Area harvested","Onions and shallots, dry (excluding dehydrated)","2024","8011"
"Crops and livestock products","Ghana","Yield","Onions and shallots, dry (excluding dehydrated)","2024","18444.8"
"Crops and livestock products","Ghana","Production","Onions and shallots, dry (excluding dehydrated)","2024","147755.84"
"Crops and livestock products","Ghana","Area harvested","Oranges","2012","16500"
"Crops and livestock products","Ghana","Yield","Oranges","2012","37878.8"
